sent,claim,formula,row_index,column,scenario,file
Global oil demand grows by nearly 950 thousand barrels per day (kb/d) on average each year to 2025 in the New Policies Scenario but slows to 250 kb/d thereafter in the period to 2040.,grows,"=IF(G6>0,""ok"",""no"")",TPEDoil_mbd,2017,NPS,templates_temp/data/Ch03-Oil.csv
Global oil demand grows by nearly 950 thousand barrels per day (kb/d) on average each year to 2025 in the New Policies Scenario but slows to 250 kb/d thereafter in the period to 2040.,nearly 950 thousand,=((D6-D5)/(B6-B5))*1000,TPEDoil_mbd,2025,NPS,templates_temp/data/Ch03-Oil.csv
Global oil demand grows by nearly 950 thousand barrels per day (kb/d) on average each year to 2025 in the New Policies Scenario but slows to 250 kb/d thereafter in the period to 2040.,on average,ok,TPEDoil_mbd,2040,NPS,templates_temp/data/Ch03-Oil.csv
Global oil demand grows by nearly 950 thousand barrels per day (kb/d) on average each year to 2025 in the New Policies Scenario but slows to 250 kb/d thereafter in the period to 2040.,slows,"=IF(G9<G6,""ok"",""no"")",TPEDoil_mbd,2040,NPS,templates_temp/data/Ch03-Oil.csv
Global oil demand grows by nearly 950 thousand barrels per day (kb/d) on average each year to 2025 in the New Policies Scenario but slows to 250 kb/d thereafter in the period to 2040.,250 kb/d,=((D7-D6)/(B7-B6))*1000,TPEDoil_mbd,2040,NPS,templates_temp/data/Ch03-Oil.csv
All of this growth occurs in developing economies; demand in advanced economies drops by over 400 kb/d on average each year to 2040 (Figure 3.1).,All of this growth,"=IF(D20>D19,""ok"",""no"")",TPEDoil_mbd,2017,NPS,templates_temp/data/Ch03-Oil.csv
All of this growth occurs in developing economies; demand in advanced economies drops by over 400 kb/d on average each year to 2040 (Figure 3.1).,drops,"=IF(G18<0,""ok"",""no"")",TPEDoil_mbd,2025,NPS,templates_temp/data/Ch03-Oil.csv
All of this growth occurs in developing economies; demand in advanced economies drops by over 400 kb/d on average each year to 2040 (Figure 3.1).,over 400 kb/d on average,=((D18-D16)/(B18-B16))*1000,TPEDoil_mbd,2040,NPS,templates_temp/data/Ch03-Oil.csv
"Even though its demand growth slows noticeably, China overtakes the United States in the New Policies Scenario to become the world's largest oil consumer.",slows noticeably,"=IF(A30<A29,""ok"",""false"")",China,,,templates_temp/data/Ch03-Oil.csv
"Even though its demand growth slows noticeably, China overtakes the United States in the New Policies Scenario to become the world's largest oil consumer.",overtakes,"=IF(D28>D35,""ok"",""false"")",TPEDoil_mbd,2017,NPS,templates_temp/data/Ch03-Oil.csv
"Even though its demand growth slows noticeably, China overtakes the United States in the New Policies Scenario to become the world's largest oil consumer.",world's largest,"=IF(AND(D28>D35,D28>D37),""ok"",""false"")",TPEDoil_mbd,2025,NPS,templates_temp/data/Ch03-Oil.csv
